,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
720,Marketing Designer,$94K-$187K (Glassdoor est.),"Think of the brands built by Apple, Netscape, Google. They created an aesthetic that made the tech easy to understand, and — in the process — moved millions of people. That's what we aspire to. To get us there, we're looking for a remarkable designer to create marketing assets that are not just effective, but iconic.

Intro

Why this Role?

1. Make an enormous impact on the company: Notion is growing rapidly through word of mouth, but we have the chance to go bigger. Creating compelling content — websites, videos, graphics, emails, etc. — is what will make this difference.
2. Play a major strategic role: Help us figure out how to deliver the right messages to the right audiences.
3.Broaden your super powers: Everyone at Notion wears multiple hats. You'll get experience with editorial, growth marketing, consumer education, and more.
4. Join us at a magical time: We've hit profitability and over a million users with a very small team, which gives us a huge green field to experiment with.
So, what will you do as a designer on the marketing team?
Make marketing materials from scratch. Design, write, and produce landing pages, email campaigns, social media assets, sales collateral, published content, and more, end-to-end.
Tell stories. Notion is a product that can be simple or complex. It can also be used for many things. Create materials that help people understand the product and its value for them.
Constantly learn from our users to determine how they want to use Notion, how to teach them to do more with the product, and how to engage new users.
Measure how marketing materials are performing, and figure out how to make changes to increase engagement and conversions.
You might be a good fit if...
You have at least 3-5 years of visual design experience, ideally producing marketing assets.
You're a masterful communicator, able to draw people in and enhance understanding through design and written language.
You can produce graphics, videos, and GIFs with a high level of craft and attention to detail.
You're a strong writer with a bit of edge and play in your voice.
Bonus: Coding abilities so you can build what you design. An understanding of how things work behind the scenes goes a long way.",5,"Notion Labs
5.0","San Francisco, CA","San Francisco, CA",1 to 50 employees,2016,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1
721,RF/Analog Mask Layout Designer,$94K-$187K (Glassdoor est.),"Job Id
E1980625
Job Title RF/Analog Mask Layout Designer

Post Date 03/05/2020

Company
Qualcomm Technologies, Inc.

Job Area Engineering - Hardware

Location Massachusetts - Boxborough

Job Overview

Qualcomm's RF360 design group is seeking experienced mask layout designers to fulfill both large block level and project lead level roles working in a very large team environment. Responsibilities will vary depending on experience and expertise.

The Layout Designer will be responsible for physical design of RF and Analog circuits in a fast paced environment.
Providing accurate schedules - Meeting project milestone deadlines - Full self-sufficiency in debugging complex verification failures - Mentoring of junior layout designers - Delivering high quality layout that conforms to all design requirements. - Full understanding of hierarchical planning (top down and bottom up) and integration -Chip design from bottom up planning through tape out"" id=""hdnJobOverview"">Qualcomm is a company of inventors that unlocked 5G ushering in an age of rapid acceleration in connectivity and new possibilities that will transform industries, create jobs, and enrich lives. But this is just the beginning. It takes inventive minds with diverse skills, backgrounds, and cultures to transform 5Gs potential into world-changing technologies and products. This is the Invention Age and this is where you come in.

Qualcomm's RF360 design group is seeking experienced mask layout designers to fulfill both large block level and project lead level roles working in a very large team environment. Responsibilities will vary depending on experience and expertise.

The Layout Designer will be responsible for physical design of RF and Analog circuits in a fast paced environment.
Providing accurate schedules - Meeting project milestone deadlines - Full self-sufficiency in debugging complex verification failures - Mentoring of junior layout designers - Delivering high quality layout that conforms to all design requirements. - Full understanding of hierarchical planning (top down and bottom up) and integration -Chip design from bottom up planning through tape out
All Qualcomm employees are expected to actively support diversity on their teams, and in the Company.
Minimum Qualifications 10+ years of experience in the following is required:
RF/Analog layout
High frequency circuits such as LNAs, PAs, VCOs
Cadence Virtuoso and Mentor Graphics Calibre tools "" id=""hdnMinimumQualifications"">10+ years of experience in the following is required:
RF/Analog layout
High frequency circuits such as LNAs, PAs, VCOs
Cadence Virtuoso and Mentor Graphics Calibre tools
Preferred Qualifications At least 10+ years of experience in the following is strongly preferred:
Experience with GaAs deisng and ADS
Ability to assist with PDK development and/or Skill coding
Chip level management from project inception through tape out"" id=""hdnPreferredQualifications"">At least 10+ years of experience in the following is strongly preferred:
Experience with GaAs deisng and ADS
Ability to assist with PDK development and/or Skill coding
Chip level management from project inception through tape out

Education Requirements Preferred: Bachelor's, Electrical Engineering"" id=""hdnEducationalRequirements"">Required: Associate's or Technical Certificate or equivalent
Preferred: Bachelor's, Electrical Engineering",3.9,"Qualcomm
3.9","Boxborough, MA","San Diego, CA",10000+ employees,1985,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD),"Intel Corporation, MediaTek, Broadcom"
722,Sr. Product Designer,$94K-$187K (Glassdoor est.),"At Bluebeam, we empower people to advance the way the world is built. We create smart software solutions that make construction sites more efficient, connected and safe and improve the lives of design and construction professionals everywhere.

As a Sr. Product Designer at Bluebeam, you'll join the Product Design & Research team to support Revu, our flagship product with more than 1.6 million users worldwide. You'll help to define the overall user experience end-to-end including the micro interactions that bring the product to life. You'll tackle complex, multifaceted customer workflows, transforming them into intuitive, accessible and easy-to-use experiences for our customers around the globe.

As an experienced Product Design & Research professional, what excites you is solving for our Customer needs and finding solutions to their day-to-day problems. You are steeped in this sort of experience and as a result are able come to this role armed with best-practice techniques and approaches and you know instinctually what the best design tools for the job are going to be.

This role will collaborate closely with, and be supported by, other Product Designers who are also working on the wider Revu portfolio and it will partner with peers in Product Management and Engineering to deliver the actual experiences to our end customers.

*This role is a full-time, onsite position. Due to the Corona Virus, all new employees will be required to start work remotely until we are able to return to the office. More information will be provided in the interview process.*

What you'll do:
Create detailed UI designs for product features including low to high fidelity visual design mockups, wireframes, sketches, prototypes, and supporting design specifications and documentation.
Collaborate closely with Engineering and Product Management in an Agile/Lean and iterative fashion to ensure your proposed designs meet user needs and are feasible to implement.
Undertake user research, data analysis and user testing with our customers translating insights and findings into tangible solutions for our product.
Suggest ways to validate product ideas and concepts with customers in order to verify assumptions and hypotheses and ensure that customers will be able to realize value from a given experience you are designing.
Directly contribute to ongoing research process improvements, including establishing best practices and setting standards for the approach and rigor we apply to our research methods.
Tell the story of the customer, their jobs-to-be-done and create consensus around user outcomes.
Act as a champion for good user experience, sharing best practices and demonstrating curiosity about customer needs and behaviors.
Advocate and help to further embed best practice Design methods both within the wider Product and Engineering teams as well as across the company.
Play a key role in further developing tools and resources that will help build Design capability across the organization as well as educating and empowering teams to adopt new processes, methods and mindsets.
What we'd like to see in you:
5 or more years of experience designing delightful user experiences for a range of responsive desktop and native mobile apps and a diverse portfolio showing your processes, deliverables and the outcomes that they drove.
Demonstrated experience designing for complex user interfaces and workflows and in developing responsive design patterns and design systems that employ best practice UX.
Experience creating prototypes of different levels of fidelity using tools like Sketch, Adobe Suite, Invision, Figma etc.
An appreciation of user psychology and an understanding of how language and design resonate with users.
A proven approach as well as deep experience and expertise in creating personas, mapping user needs, experiences and customer journeys.
The ability to confidently present and articulate design decisions with ease, participate in peer design critiques, and incorporate feedback.
Comfort working in multi-faceted design, product and engineering teams in an Agile environment.
Experience mentoring, coaching and guiding other less tenured Designers in best practices and methodologies.
Experience with/or exposure to Service Design methodologies and approaches (i.e. creation of service blueprints) as well as significant experience designing for a holistic end-to-end experience with multiple touchpoints.
What we'd LOVE to see in you:
BA/BFA degree in HCI or design related field, with an emphasis on user experience, interaction design, or visual design.
Experience working in a design agency.
Experience prototyping in HTML, CSS, and JavaScript.
What we offer:
A chance to make a meaningful impact in a dynamic, growing industry ripe for innovation.
A fun, collaborative work environment with an opportunity to help shape Bluebeam's approach to Product Design.
Plenty of opportunity to try, learn, and try again. We work in a user-centric and iterative fashion. You will have ample opportunity to make a direct impact on our products and customer experiences.
To apply, please send the following:
Cover letter (Cover letter should address why you're interested in Bluebeam and, specifically, the Sr. Product Designer role as described.)
Resume
A link to your portfolio or examples of your work
About Bluebeam

The construction industry is adopting new technology at a feverish pace. Tablets and cell phones are replacing paper blueprints, drones are surveying jobsites in 3D, and cloud collaboration is changing the way teams work together. Bluebeam plays a crucial role in this transformation. The key to our success is a customer-focused approach to product development: we work with the industry to create solutions for the industry. Today, over 1.6 million people throughout the world use Bluebeam. In the US, we're a critical partner for the majority of top AEC firms, and rapidly expanding our presence globally, with offices in Sweden, Germany and the UK.

Come design and build your future with us.

Bluebeam is proud to be an equal opportunity workplace. We are committed to equal opportunity regardless of race, color, ancestry, religion, gender, gender identity, parental or pregnancy status, national origin, sexual orientation, age, citizenship, marital status, disability, or veteran status.


#LI-SS1",3.5,"Bluebeam, Inc.
3.5","Los Angeles, CA","Pasadena, CA",201 to 500 employees,2002,Subsidiary or Business Segment,Computer Hardware & Software,Information Technology,$100 to $500 million (USD),-1
723,Product Designer,$94K-$187K (Glassdoor est.),"Location:
Detroit, MI

Job Terms:
Permanent

Posted By:
Dove Ryan

Date:
02/26/2020

Job Description:

In this role, you’ll own the design for assigned projects and lead a team of Service & Interaction Designers and Visual Designers. You’ll shape all aspects of Service Design at the project level and contribute to growing and evolving the Design Practice within the design team.

Responsibilities
Oversee and sometimes contribute to design research activities to gain a deeper understanding of user experiences and needs and to help develop insights that inform our service design.
Lead design team through projects, holding yourself and team accountable for outcomes that are aligned with the projects’ creative and strategic objectives.
Oversee and contribute to development of design and communication artifacts that align with, and clearly articulate, the Design team’s strategy and practice objectives.
Develop and maintain productive partnerships with business leaders through regular and transparent communication and expert consultation.
Grow and develop team members through regular performance feedback discussions and career coaching.

Requirements:


Requirements
At least seven years of relevant industry experience, including four or more years of leadership experience.
Bachelor’s degree in related field.
Proficiency with design applications such as Photoshop, Illustrator, InDesign, Sketch, InVision. Video editing and prototyping software experience is a plus.
Extensive knowledge of service design and design practices and ability to drive user-centered design in a corporate environment.
Understanding of difference design disciplines, such as design research, interaction design, visual design, content design.
Experience creating journey / experience maps, service / interaction models and flows and wireframes.
Understanding of prototyping, from lo-tech methods to digital.
Ability to quickly come up-to-speed on project tracking software like JIRA and Confluence.
Ability to lead a diverse, cross-discipline team of professionals with a focus on professional development.",3.9,"Aquent
3.9","Menlo Park, CA","Boston, MA",1001 to 5000 employees,1986,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,-1
724,Senior UX Designer--AWS Connect Team,$94K-$187K (Glassdoor est.),"Company Industry: Technology
Opportunity: The Mom Project is helping to source candidates for the above client who is looking for a Senior UX Designer--AWS Connect Team
Commitment Level: 40 hours per week, on-site

The Mom Project is partnering with AWS to transform and enhance their world-class Cloud Platform by adding more talented & passionate women to their growing Amazon Connect Team. Whether you're looking to return after a career break or just eager to work for an employer that supports working parents, our amazing partnership is dedicated to diversifying one of the most influential tech organizations in the world. AWS is committed to supporting and integrating their employees from day one through unrivaled benefits, comprehensive training and career-enhanced goal setting.

The AWS Connect team is growing and looking for a Senior UX Designer who leads by doing, values diversity of thought and background, has a passion for solving problems at massive scale and brings their best self to work every day. You will improve, iterate, and reimagine the product experience to shape the next generation of AWS software. You will also partner with a wide variety of internal and external customers to craft a modern, elegant BI experience for one of the fastest growing areas of software.

Who Are You?
You have an “anything is possible” mindset when faced with highly ambiguous and complex problems.
You’re proud of your work, your skills and expertise – but you’re not cynical, inflexible.
You love being part of a highly collaborative and high-energy team that isn’t afraid to swing for the fences or exceed expectations even on tactical projects.
You have a deep background in complex data products, geek out over customer experience, visualization and machine learning and believe that no experience is perfect unless it delights customers in unexpected ways.
You have demonstrated design acumen and believe in the power of strategic design to differentiate experience and increase customer loyalty.
You are an influencer who doesn’t hold your ideas as precious and who iterates quickly, based on data, and delivers recommendations and analysis that tell the story of the customer experience we are delivering.
You have a proven track record of inventing and simplifying elegant information architectures that make the complex feel simple to the end user.

What Will You Accomplish?
You will be responsible for leading a variety of design initiatives across a brand new suite of features.
You will work alongside product management, product/visual/interaction design, and engineering to define and build the essential lovable product.
You understand how to have deep customer focus, the ability to dive deep and invent, and the ability to make hard decisions fast.
You will contribute to the design of useful, usable, and desirable products in a team environment
You will create user-centered designs by considering market analysis, customer feedback, and usability findings

BASIC QUALIFICATIONS
· 5+ years of experience as a user experience designer, interaction designer, information architect, or similar role
· 3+ years of experience designing for mobile, voice, web and web based devices
· Bachelor's degree in design, human-computer interaction (HCI), or 6+ years equivalent professional experience

PREFERRED QUALIFICATIONS
· Experience designing user interfaces for data visualization or data insight products.
· Experience designing for mobile, touch, voice and web.
· Ability to prototype in HTML, JavaScript, and CSS etc.
· Visual design expertise demonstrated through mockups and style guides
· Excellent communication, presentation, and interpersonal skills
· Experience working in a collaborative team and working directly with developers for implementation of designs
· Meets/exceeds Amazon’s leadership principles requirements for this role
· Meets/exceeds Amazon’s functional/technical depth and complexity for this role Experience with a variety of design tools such as Sketch, Invision, XD, Photoshop, Illustrator, Fireworks etc.
· A portfolio or samples of work demonstrating experience creating user-centered design solutions
· Fluency in best practices for web-based information architecture and design, as well as strong knowledge of usability principles and techniques
Apply today for the potential to redefine your career at one of the world's most
innovative companies with a defined commitment to building a diverse and inclusive
workforce.",4.9,"The Mom Project
4.9","New York, NY","Chicago, IL",1 to 50 employees,2016,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,-1
725,Associate Communications Designer,$94K-$187K (Glassdoor est.),"The Group: Morningstar brings inspired problem solvers together with one goal in mind—to help investors reach their financial goals. At our core, we’re one of the world’s top investment research and data companies. But where we set ourselves apart is how we use that data and research to serve a diverse range of users. Our investment data and research enable us to deliver analytics and insights with a purely independent view, and then we leverage the latest in technology and design to deliver an array of solutions that best meet our users’ needs. This foundation of research, data, technology and design uniquely positions us to provide a more complete set of services to investors all around the world—ultimately helping people make better decisions about their money, or the money they manage for millions of people all over the world.

The Team: The Morningstar design team is dedicated to creating thoughtfully-designed financial products and services so that people across the world can make the best investing decisions for themselves and their clients. We synthesize complex financial information into experiences that empower our users to deliver better outcomes. We do this by not only creating the look and feel of a product, but also driving product direction: prioritizing the biggest opportunities to support our users and the business, while maintaining a strong sense of product ownership and its resulting success. The design organization is made up of several disciplines—visual, UX, communications, content, and research—united to help each other, and the whole company, grow. We’re always seeking designers who are motivated, are driven to deliver user-centered outcomes, and are equally committed to craft and compassion.

The Role: Morningstar is looking for an Associate Communications Designer for our Marketing group, specifically focused on developing marketing communications and experiences to support our professional software offerings. In this role you’ll help us express our differentiated brand and capabilities story through compelling digital campaigns and websites, print collateral and presentations, and live events with prospects and customers. Communications designers at Morningstar collaborate with other designers, content professionals, product marketing professionals, the brand team, and our technology and business partners to craft impactful customer interactions that drive brand engagement, elevate awareness of our products, and provide support for sales and client interactions.

This position is based in our Chicago office.

You’ll be great at:
• Conducting conceptual explorations that inform the creative direction and drive thoughtful design solutions, while also ensuring the successful implementation of concepts in real-world application in consideration of production constraints and techniques
• Making informed design decisions around typography, composition, color, and other visual elements that support a delightful, engaging experience, while reinforcing the Morningstar brand
• Solving challenging information and communication design problems and being able to present multiple concepts for consideration, with sound rationale
• Understanding current trends in digital design and bringing fresh thinking to your solutions
• Creating high-fidelity prototypes and other artifacts that communicate design direction and executional considerations
• Participating in creative workshops, user testing, and market research activities that help inform the direction of marketing initiatives and campaigns

We’re looking for someone who’s:
• Skilled in both visual and conceptual design, with a strong understanding of typography, color, illustration, and photography
• Able to execute design solutions through all mediums with an emphasis on digital experience design and multimedia
• Eager to master complex information, and can translate that information in a way that drives effective story-telling
• Deeply collaborative and can bring the right players together to solve creative problems
• A curious self-starter who isn't afraid of ambiguity, or constraints
• Open to feedback and knows how to defend design decisions
• Continuously striving for better ways of communicating and learning
• Comfortable with a fast-paced work environment
• Able to bring energy to a team and keep things positive

Basic Qualifications:
• Bachelor’s degree
• 1–3 years of experience designing for brand and marketing communications

Preferred Qualifications:
• Bachelor's degree in graphic design or equivalent experience/training in the graphic arts.
• Strong knowledge of Sketch, Invision, Adobe Creative Suite, Microsoft Office Suite, and Mac OS X
• Excellent communication skills, both written and oral
• Knowledge of HTML and CSS

How to apply:
Include a link to your online portfolio or attach pdf samples along with your resume.

Morningstar is an equal opportunity employer.",4,"Morningstar
4.0","Chicago, IL","Chicago, IL",5001 to 10000 employees,1984,Company - Public,Financial Analytics & Research,Finance,$1 to $2 billion (USD),"Thomson Reuters, FactSet, Bloomberg L.P."
726,CAD Drafter / Designer,$94K-$187K (Glassdoor est.),"CAD Drafter / Designer - Columbia, MD

Job Details
Level
Entry
Job Location
MD - Columbia - Columbia, MD
Position Type
Full Time
Travel Percentage
Negligible
Job Overview
Advantage Engineers is seeking an entry level, full-time AutoCAD Drafter/Designer to create AutoCAD drawings of telecommunication facilities. This position is expected to operate as a part of the team, receive and provide peer review for work product and will report directly to the Project Manager.

The duties to produce engineering drawings and can include the following abilities and skills:
Proficiency with AutoCAD.
Computer proficiency, including Microsoft Office programs.
Ability to manage multiple projects with changing priorities.
Ability to read and understand engineering drawings and documents.
Ability to review and complete redlines.
Possess problem solving and organizational skills.
Experience / Requirements
Formal CAD education from trade school (or equivalent).
High School Diploma
Valid Driver’s License
The availability to work overtime as needed per project demands and staffing levels.
Preferences:
Experience with outside plant and inside plant fiber optic design.
Ability to perform field survey and permit application tasks when cross-training opportunities arise.
Basic knowledge of civil, electrical, mechanical and/or structural disciplines",3.5,"Advantage Engineers
3.5","Columbia, MD","Columbia, MD",201 to 500 employees,2010,Company - Private,Architectural & Engineering Services,Business Services,$25 to $50 million (USD),"KCI Technologies, Earth Engineering"
727,Learning Experience Designer,$94K-$187K (Glassdoor est.),"Title: Learning Experience Designer (Contract to hire)

Location: Hamptons, NY

Start date: July/August 2020

ABOUT AVENUES: THE WORLD SCHOOL

Avenues is on a mission to change the world through education. Founded in 2010 with the vision of becoming one school with many campuses, Avenues now has physical campuses in New York, São Paulo, Shenzhen, and a virtual campus, Avenues Online. Together, these campuses form one transformative, interconnected learning community preparing students to become engaged global citizens and worldwise leaders.

Avenues Hamptons joins this global community in the fall as the first of its kind: a studio campus.

AVENUES HAMPTONS

Our first studio campus, located in the heart of the Hamptons, establishes a new model of secondary education by combining our transformative, world-focused academic program with exceptional one-on-one mentoring, flexible scheduling, and personalized learning experiences in our unique, state-of-the-art studio facilities.

THE OPPORTUNITY

As a Learning Experience (LX) Designer, you will help launch a new campus and establish a new model of secondary education. LX Designers partner directly with the Head of Studio to mentor students, build community, execute day-to-day operations, and design authentic, relevant, and personalized learning experiences for each student.

WHAT WILL YOU DO?
Foster students' belonging and wellbeing
Build meaningful, positive, and individual relationships with middle and upper grades students
Support and counsel students as they explore academic, emotional, and social challenges or concerns
Facilitate small-group advisories and community building activities
Design transformative learning experiences
Collaborate directly with the Head of Studio and students to co-create, coach, and oversee student-directed projects and initiatives
Build relationships with local businesses, non-profits, and government agencies to identify real needs around which to engage students in meaningful partnerships and design projects
Help create a culture of student-centered learning
Provide general administrative support to the Head of Studio
Communication: assistance with newsletters, memos, and other school communications
Scheduling: assistance with creating and coordinating schedules, meetings, and events
Site Operations: assistance with the supervision of spaces, daily routines and safety procedures, ordering and supplies, etc.
WHO ARE WE LOOKING FOR:

We are looking for candidates who bring:
Understanding of and empathy for the social-emotional needs of adolescents
Desire to be a part of building a new school and a new approach to learning
Ability to collaborate, navigate ambiguity, and overcome challenges within a startup environment
Expertise or experience with one or more of the following:
Design thinking, social innovation, systems thinking
Service learning and/or social justice and advocacy work
Sustainability, outdoor education, and/or environmental studies
Social-emotional learning, counseling, and/or K-12 teaching
A bachelor's degree or equivalent
WHAT WE OFFER:
Contract-to-hire position for one semester converting to FTE based on performance
Unparalleled career growth opportunities across multiple campuses around the world
The thrill of a start-up and the opportunity to build things from scratch, all within an organization with global resources and supports, and a proven track record of results
Frequent feedback, ongoing coaching and top-notch, job-embedded professional learning
A beautiful, uplifting, student-centric school environment
A chance to change the world of education as part of a global community spanning three continents
TO APPLY:

Learn more about Avenues on our website (www.avenues.org) and LinkedIn (https://www.linkedin.com/company/avenues-the-world-school/). Apply through the Careers section of the Avenues website (http://www.avenues.org/en/careers/).",3.3,"Avenues: The World School
3.3","East Hampton, NY","New York, NY",501 to 1000 employees,2011,School / School District,K-12 Education,Education,$25 to $50 million (USD),-1
728,Architectural Project Designer,$94K-$187K (Glassdoor est.),"LPA is seeking a passionate Project Designer | Architecture to join our integrated team of architects, engineers, interior designers, landscape architects and master planners. As a participant in our uniquely collaborative design process, you will work hand in hand with colleagues across disciplines on a wide variety of innovative, sustainable projects. Our award-winning projects aim to have a positive and enduring environmental, economic and social impact.
Project Designer| Architecture Experience:
Bachelor’s or Master’s Degree in Architecture required
10+ years of experience in all phases of architectural projects
Architectural license required
Project Designer| Architecture Requirements:
Proficiency of CAD, SketchUp and Adobe Creative Suite is required. Strong knowledge in Revit is preferred.
Strong conceptual design ability and advanced graphic presentation skills
Enthusiastic commitment to the multidisciplinary design process and team environment
Strong written and verbal communication skills: articulate, engaging and motivating
Inspire quality throughout the entire project process
Project Designer| Architecture Responsibilities:
The Project Designer will work in unison with the Project Architect and Project Manager to lead the project design and support the Design Director in developing innovative design solutions
Prepare presentations and documentation in the programming and schematic design phase with the pursuit of the final client approval
Develop and create design solutions with the client and team in support of the LPA brand
Work on research for product and construction methods related to projects
Mentor-ship from Design Directors and Managing Directors
LPA is an integrated design firm with offices in California and Texas. We specialize in creating innovative, sustainable environments that work better, do more with less and improve people’s lives. We provide a vibrant and rewarding work environment—one that values and fosters creativity, collaboration, critical thinking, community engagement and ongoing career development and growth. LPA is also committed to diversity, wellness and work-life balance. LPA offers competitive salaries and generous benefits, including health and dental insurance, retirement and financial, wellness and other work/life plans.

NOTICE TO RECRUITMENT AGENCIES AND RECRUITERS:
Please note that LPA does not accept unsolicited resumes from recruiters or employment agencies. In the absence of a signed contract, LPA will not agree to pay any recruiter fee. In the situation an agency or recruiter submits a candidate or resume without a previously signed agreement and/or without LPA’s request, LPA explicitly reserves the right to hire those candidate(s) without any financial obligation to the recruiter or agency. Any unsolicited resumes, including those submitted to hiring managers, are deemed to be the property of LPA.",3.3,"LPA, Inc.
3.3","San Jose, CA","Irvine, CA",201 to 500 employees,1965,Company - Private,Architectural & Engineering Services,Business Services,$25 to $50 million (USD),-1
729,Architectural Designer,$94K-$187K (Glassdoor est.),"Title: Architectural Designer II / Job Captain

Role Description:
DPS is a multi-national Architectural/Engineering firm specializing in technical facilities for the Pharmaceutical, Biotech and Micro-electronics industries. We are seeking an experienced Architectural Designer with a proven track record to join our Framingham, MA team supporting our growing work load for US operations.
The successful candidate will work directly with the project architect and DPS internal teams on projects of all scales. Primary responsibilities will include supporting the design and planning process for multi-faceted production facilities and the production and coordination of architectural construction documents under the direction of the Architectural Department Manager. DPS seeks a person with a strong architectural background and a minimum of 5 to 7 years of architectural work experience. Documented biotech/biopharm and/or R&D laboratory design experience preferred. Some familiarity and experience with FDA/EU cGMP guidelines is a definite advantage. Additional qualifications include Bachelors of Architecture or Masters of Architecture degrees, and proficiency in Revit and AutoCAD. Candidates on a track to become registered are preferred. This position requires strong organizational, communication and personal management skills.
Responsibilities:
Provide architectural design leadership for varied projects and client base. Implement the development of preliminary presentations and construction documentation.
Coordinate design issues with the in-house engineering team.
Participate in company initiatives for quality control and ISO 9000 certification.
Work with clients, contractors and local officials under the direction of the project architect to coordinate construction issues.
Research building materials and coordinate into project specifications.
Mentor junior designers in computer aided drawing, code research, product research, and construction document creation, drawing and detailing.
Must work collaboratively and effectively within a team.
Must have excellent written and communication skills.
Must be proficient in Revit, Photoshop and Power Point.
Must be design-oriented with excellent graphical skills.
Must have strong knowledge of assembling contract documents.
Knowledge and understanding of applicable building codes.
Strong knowledge of constructability and detailing.
Must be well organized, engaged, flexible and self-motivated.
Must have the ability to multi-task, collaborate on projects, and work well under deadlines.
Education and Experience:
Arch. / M.Arch degree with 5+ years of architectural experience. Biotech/biopharm and/or R&D laboratory design experience preferred.
On-track for Architectural registration.
Must have strong knowledge and experience with Revit and AutoCAD. Sketch-up, and other 3-D software experience a plus
Good report and technical writing skills desired with proficiency in Microsoft word, excel and power point.
Experience with aspects of biotech and pharmaceutical industries a definite plus.
Demonstrating good interpersonal skills, attentive and approachable.
Maintains a professional and productive relationship with clients and co-workers.
Bachelor’s Degree or Master’s Degree in Architecture Required.",2.7,"DPS Group Global
2.7","Framingham, MA","Cork, Ireland",501 to 1000 employees,1974,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$5 to $10 million (USD),-1
730,Mechanical Designer,$94K-$187K (Glassdoor est.),"Mechanical Designer

Rogers, AR

Primary Functions:

The primary purpose of this position is to design and draft detailed dimensional drawings and ensure conformance to specifications/customer requirements.

Education and/or Experience Qualifications:

Broad knowledge of such fields as computer-aided design, manufacturing, accounting, marketing, business administration, etc. Equivalent to a four year college degree, plus 3 years related experience and/or training, or equivalent combination of education and experience.

Position Responsibilities:
Recognize and implement improved processes and best practices.
Design for, and oversee product manufacture, employing JIT techniques.
Produce drawing packages and sets to be submitted to customers, manufacturers, and field crews.
Balance cost, weight, complexity and versatility of designs as requested.
Communicate with appropriate parties – internal and external - as needed, including seeking new projects and opportunities.
Stay updated on industry news and trends, products, services, competitor and information relevant to the industry.
Develop and maintain supplier relations including reporting use of conflict materials in order to guarantee competitive pricing and compliance.
Record new products, parts, and assemblies in the master Bill of Materials and regularly update manufacturer part numbers and pricing.
Build quotes for customers and cost estimates for PMs, and maintain the Quotation Calculator based on the BOM.
Attend trade shows, other similar events, and job sites as a representative of BNSFL and provide technical support.
Oversee purchase of all components necessary to fulfill fixture POs, and track component inventory levels.
Oversee assembly of products and ensure lead times are met.
Provide training and direction to other members of the Design Team and ensure they are equipped with the necessary tools and knowledge for the task.
Perform any other related duties as required or assigned.
Disclaimer

The above statements are intended to describe the general nature and level of work being performed by people assigned to this classification. They are not to be construed as an exhaustive list of all responsibilities, duties, and skills required of personnel so classified. All personnel may be required to perform duties outside of their normal responsibilities from time to time, as needed.

BNSF Logistics offers competitive benefit programs and services including, but not limited to:
Competitive pay
Comprehensive health benefits package
401(k) plan with employer match
Flexible spending account
Company paid life, short-term and long-term disability insurance
Employee discounts on autos, travel, electronics, insurance, etc.
Tuition assistance
Professional training staff with an industry leading Learning Management System
Company culture that recognizes its employees
ABOUT BNSF Logistics:

BNSF Logistics is an industry-leading transportation intermediary, committed to providing value to each of our customers through professional acumen, entrepreneurial drive, and individual commitment. We are one of the fastest growing 3PLs in North America and pride ourselves on service flexibility and modal breadth. BNSF Logistics is an indirect, wholly owned subsidiary of Burlington Northern Santa Fe LLC.

Our Purpose: We Deliver What Matters

Our Guiding Principles:
Protect the well-being of ourselves and others
Drive innovation and embrace transformation
Respect and serve everyone
Keep our commitments
Celebrate and enjoy the journey
Foster a collaborative and inclusive community
BNSF Logistics is an Equal Opportunity Employer that is committed to diversity, and values the ways in which we are different. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, veteran status, or any other status protected by law.",4.2,"BNSF Logistics
4.2","Rogers, AR","Flower Mound, TX",501 to 1000 employees,2002,Company - Private,Logistics & Supply Chain,Transportation & Logistics,$100 to $500 million (USD),-1
